id	filename	md5	size	state
e00d5548-a577-4019-9f7c-5bad23811d4e	TCGA-EI-6917-01A-11D-1924-10_wgs_Illumina.bam	1aad8b4086ee1bbe06f6cede16ddc809	354139894228	live
673cc168-5c3a-4eec-b299-8de319725cc6	TCGA-AG-4008-01A-01D-1989-10_wgs_Illumina.bam	3fc80e7c36e8cf130d318684c426c0bc	353040230325	live
4980286e-15f8-4cb0-b7f7-8e68f04c699f	TCGA-F5-6814-01A-31D-1924-10_wgs_Illumina.bam	ba42a212579cdb8b150d42d55138149c	341782764491	live
5f4b068c-b942-45c3-ab7f-7258bb46e0e6	TCGA-AF-2689-01A-01D-1989-10_wgs_Illumina.bam	726b4a6664ad72ae0ad415c48b8aa3a3	338580219691	live
23b2dbcf-d83f-448a-8e6a-e3395344bc03	TCGA-AG-A002-01A-01D-A183-10_wgs_Illumina.bam	1078fdb0960380623262583dddc36cae	329796105197	live
13fc1d5a-7c67-4646-953d-ad0f22571017	TCGA-AF-3913-01A-02D-1459-10_wgs_Illumina.bam	b2174aef054fbed8771036235ad8283c	326056166883	live
9275573a-23ac-40aa-b792-cff9ee5bca8c	TCGA-AG-3593-01A-01D-1525-10_hg19_wgs_Illumina.bam	d44a2844ce088e5be141182b803e47f9	287233488628	live
97d50708-f0d6-4eb9-9915-c8d0d9018521	TCGA-AG-3593-10A-01D-1525-10_hg19_wgs_Illumina.bam	476612fe0f1e7725b1683c9774576ac5	261935396572	live
51acbe73-78d9-48e4-b937-42a159dfb5a5	TCGA-AG-3901-01A-01D-1989-10_wgs_Illumina.bam	7fb2816f5660e4747606041dbb5171ba	256813902008	live
a9406c81-5dd3-4c50-8984-c81a85f67723	TCGA-AG-3896-01A-01D-1989-10_wgs_Illumina.bam	ff439922607f2c413d1767dfab6f2005	251028541298	live
16ef1919-094b-44db-a49b-966c6bf84f33	TCGA-AG-4007-01A-01D-1989-10_wgs_Illumina.bam	ada23c17b74daa6bebbdb251c3e711b6	247144281109	live
8df564e5-cdec-4714-b522-5f7356be8d5d	TCGA-AG-3890-01A-01D-1989-10_wgs_Illumina.bam	36f9e81ac8f21ac2247184d76dfe0880	238937221032	live
bf5bf305-cd19-4e22-8e98-6671a1196153	TCGA-AG-4007-10A-01D-1989-10_wgs_Illumina.bam	8df0f342efa8e323afb174c5ef712432	234823192739	live
70d6fce9-139d-448e-8f5f-14b10832d66b	TCGA-AG-3727-01A-01D-1989-10_wgs_Illumina.bam	346be49821eceb42b763426bb6744090	231671067958	live
